"requirement_id","scope","source","verification","mode","status"
"SER-VERSION-001","serialization.version","docs/reference/serialization-contract.rst#ser-version-001","tests/test_serialization_contract.py::test_serialization_contract_version_is_public","automated","verified"
"SER-MESSAGE-001","serialization.message","docs/reference/serialization-contract.rst#ser-message-001","tests/test_serialization_contract.py::test_message_valid_golden_round_trip_is_lossless_and_canonical","automated","verified"
"SER-EVENT-001","serialization.event","docs/reference/serialization-contract.rst#ser-event-001","tests/test_serialization_contract.py::test_event_valid_golden_round_trip_is_lossless_and_canonical","automated","verified"
"SER-UNKNOWN-001","serialization.unknown-fields","docs/reference/serialization-contract.rst#ser-unknown-001","tests/test_serialization_contract.py::test_same_major_readers_accept_additive_fields_and_emit_current_minor","automated","verified"
"SER-CANONICAL-001","serialization.canonical","docs/reference/serialization-contract.rst#ser-canonical-001","tests/test_serialization_contract.py::test_minimal_event_defaults_are_emitted_in_canonical_form","automated","verified"
"SER-ERROR-001","serialization.error-limits","docs/reference/serialization-contract.rst#ser-error-001","tests/test_serialization_contract.py::test_invalid_payload_goldens_have_stable_codes_and_paths; tests/test_serialization_contract.py::test_json_reader_rejects_non_object_malformed_duplicate_and_nonfinite_json; tests/test_serialization_contract.py::test_json_reader_rejects_fractional_numbers_outside_binary64_contract; tests/test_serialization_contract.py::test_json_reader_rejects_oversized_number_literals_before_conversion; tests/test_serialization_contract.py::test_integer_contract_accepts_4096_digit_boundary; tests/test_serialization_contract.py::test_mapping_reader_and_writer_reject_integers_over_4096_digits; tests/test_serialization_contract.py::test_python_payload_and_writer_reject_nonfinite_numbers; tests/test_serialization_contract.py::test_python_event_payload_rejects_non_json_raw_values; tests/test_serialization_contract.py::test_python_payload_reader_and_writer_reject_cycles; tests/test_serialization_contract.py::test_readers_reject_excessive_nesting_with_stable_error; tests/test_serialization_contract.py::test_event_writer_rejects_invalid_message_state_with_stable_error; tests/test_serialization_contract.py::test_event_required_strings_must_be_present_and_non_empty","automated","verified"
"SER-EVOLUTION-001","serialization.evolution","docs/reference/serialization-contract.rst#ser-evolution-001","tests/test_serialization_contract.py::test_same_major_readers_accept_additive_fields_and_emit_current_minor","automated","verified"
"LIF-START-001","lifecycle.start","docs/reference/public-api-lifecycle.rst#lif-start-001","tests/test_public_api_lifecycle_contract.py::test_successful_cold_start_orders_plugins_before_adapters_and_is_idempotent","automated","verified"
"LIF-START-002","lifecycle.rollback","docs/reference/public-api-lifecycle.rst#lif-start-002","tests/test_public_api_lifecycle_contract.py::test_bootstrap_failure_rolls_back_started_plugins_and_preserves_error","automated","verified"
"LIF-ADAPTER-001","lifecycle.adapter-failure","docs/reference/public-api-lifecycle.rst#lif-adapter-001","tests/test_public_api_lifecycle_contract.py::test_adapter_failure_preserves_error_and_triggers_full_cleanup","automated","verified"
